Date,Open,High,Low,Close,Volume,Adj Close
2014-10-10,68.09,68.16,66.48,66.54,8170400,66.54
2014-10-09,68.52,68.61,67.18,67.31,6482500,67.31
2014-10-08,68.83,68.86,67.82,68.52,9185600,68.52
2014-10-07,69.77,69.87,68.98,69.00,4366800,69.00
2014-10-06,70.73,70.98,69.95,70.16,3990100,70.16
2014-10-03,70.44,71.10,70.21,70.64,4113600,70.64
2014-10-02,70.23,70.64,69.72,70.23,5249500,70.23
2014-10-01,71.13,71.35,69.85,70.48,8434700,70.48
2014-09-30,72.10,72.28,71.57,71.76,4714700,71.76
2014-09-29,71.81,72.35,71.63,72.05,4313200,72.05
2014-09-26,71.89,72.66,71.72,72.50,3302400,72.50
2014-09-25,72.47,72.71,71.78,71.79,5270000,71.79
2014-09-24,71.06,72.92,71.02,72.83,7369900,72.83
2014-09-23,71.17,71.49,70.86,71.04,4878300,71.04
2014-09-22,71.25,72.00,71.00,71.49,5638000,71.49
2014-09-19,71.77,72.15,71.22,71.25,9038800,71.25
2014-09-18,69.78,71.42,69.75,71.20,13190800,71.20
2014-09-17,68.33,69.31,68.19,69.25,17076500,69.25
2014-09-16,65.10,66.17,65.04,65.83,3915300,65.83
2014-09-15,64.96,65.41,64.75,65.30,2992000,65.30
2014-09-12,65.22,65.35,64.52,64.78,3193400,64.78
2014-09-11,65.02,65.23,64.79,65.13,2327500,65.13
2014-09-10,65.15,65.36,64.63,65.21,2780000,65.21
2014-09-09,65.56,65.68,65.21,65.27,2887700,65.27
2014-09-08,66.01,66.09,65.35,65.36,3323500,65.36
2014-09-05,65.72,66.16,65.66,66.00,3195000,66.00
2014-09-04,65.75,66.33,65.75,65.92,2737100,65.92
2014-09-03,66.19,66.38,65.73,65.82,3067000,65.82
2014-09-02,65.92,66.23,65.58,65.83,3022700,65.83
2014-08-29,66.45,66.56,65.90,66.11,3206500,66.11
2014-08-28,65.67,66.30,65.52,66.15,1609800,66.15
2014-08-27,65.96,66.21,65.84,65.93,2152500,65.93
2014-08-26,66.32,66.43,65.88,66.16,2053800,66.16
2014-08-25,66.03,66.39,66.03,66.15,2204300,66.15
2014-08-22,66.16,66.28,65.77,65.86,2797300,65.86
2014-08-21,66.16,66.62,66.16,66.30,2224000,66.30
2014-08-20,66.09,66.40,66.04,66.22,4186900,66.22
2014-08-19,66.05,66.31,65.81,66.29,2120700,66.29
2014-08-18,65.53,65.95,65.50,65.87,2538300,65.87
2014-08-15,65.40,65.75,64.64,65.25,4362200,65.25
2014-08-14,64.71,65.30,64.71,65.20,1710300,65.20
2014-08-13,65.09,65.35,64.78,65.11,2276700,65.11
2014-08-12,64.75,65.61,64.73,65.49,3874100,65.02
2014-08-11,65.19,65.50,64.89,65.03,3010900,64.56
2014-08-08,64.48,65.06,64.13,65.04,2816300,64.57
2014-08-07,65.03,65.14,64.22,64.40,3449300,63.94
2014-08-06,63.89,64.85,63.89,64.77,2899400,64.31
2014-08-05,64.23,64.56,63.81,64.03,3279500,63.57
2014-08-04,64.17,64.74,63.78,64.63,3299400,64.17
2014-08-01,63.98,64.44,63.70,64.21,3771300,63.75
2014-07-31,64.95,65.10,64.17,64.31,4844400,63.85
2014-07-30,66.31,66.54,65.24,65.39,3683900,64.92
2014-07-29,65.45,66.95,65.37,66.20,6237800,65.72
2014-07-28,65.05,65.57,64.97,65.32,4883900,64.85
2014-07-25,65.15,65.50,64.85,64.93,3758300,64.46
2014-07-24,65.38,65.69,65.07,65.20,5658700,64.73
2014-07-23,64.50,65.69,64.45,65.37,6573700,64.90
2014-07-22,65.85,65.85,64.61,64.95,6101600,64.48
2014-07-21,65.23,65.75,65.07,65.54,3370900,65.07
2014-07-18,65.01,65.61,64.89,65.55,4019400,65.08
2014-07-17,64.91,65.33,64.81,64.89,4408400,64.42
2014-07-16,64.88,65.05,64.64,65.03,2972700,64.56
2014-07-15,65.02,65.36,64.50,64.58,4852200,64.12
2014-07-14,65.32,65.51,64.97,65.01,2613300,64.54
2014-07-11,64.93,65.20,64.69,64.89,2866300,64.42
2014-07-10,64.60,65.11,64.53,64.94,3108100,64.47
2014-07-09,65.35,65.49,64.98,65.04,3661000,64.57
2014-07-08,65.65,65.65,64.95,65.33,3337800,64.86
2014-07-07,65.56,65.75,65.10,65.64,3562200,65.17
2014-07-03,65.40,65.98,65.29,65.80,2884400,65.33
2014-07-02,65.05,65.40,64.75,65.36,3907200,64.89
2014-07-01,64.99,65.75,64.68,65.41,5075800,64.94
2014-06-30,65.14,65.45,64.87,65.44,7590800,64.97
2014-06-27,65.73,66.19,64.35,65.44,16151500,64.97
2014-06-26,67.97,67.99,67.30,67.70,2895400,67.21
2014-06-25,67.58,68.20,67.34,67.82,3316700,67.33
2014-06-24,67.93,68.23,67.22,67.34,2890000,66.86
2014-06-23,68.33,68.33,67.83,67.98,3407900,67.49
2014-06-20,67.71,68.51,67.58,68.43,7866900,67.94
2014-06-19,67.80,67.85,67.28,67.40,3616600,66.92
2014-06-18,67.87,68.15,67.27,67.89,4183700,67.40
