Date,Open,High,Low,Close,Volume,Adj Close
2014-06-30,100.16,100.46,99.00,99.00,11101600,99.00
2014-06-27,99.48,100.70,99.38,99.77,4120600,99.77
2014-06-26,99.52,100.39,99.16,99.96,1284000,99.96
2014-06-25,100.23,100.54,98.84,99.53,1823400,99.53
2014-06-24,98.98,100.22,98.87,100.04,4510800,100.04
2014-06-23,98.16,99.45,97.86,98.75,1483000,98.75
2014-06-20,96.29,97.94,96.00,96.87,4636700,96.87
2014-06-19,97.39,97.63,96.20,96.95,1827900,96.95
2014-06-18,96.69,98.67,96.54,97.46,2274400,97.46
2014-06-17,94.43,97.54,94.43,96.59,3382000,96.59
2014-06-16,94.36,95.94,94.34,94.97,2586700,94.97
2014-06-13,94.61,95.20,93.60,94.58,1342700,94.58
2014-06-12,94.19,95.61,94.10,94.37,1587000,94.37
2014-06-11,93.00,95.36,93.00,95.12,2177700,95.12
2014-06-10,93.54,94.30,92.58,93.80,2554300,93.80
2014-06-09,93.96,94.50,93.74,94.05,1338900,94.05
2014-06-06,93.80,94.57,93.66,94.24,1501500,94.24
2014-06-05,94.60,95.34,93.77,93.86,2613500,93.86
2014-06-04,96.00,96.41,94.72,94.77,3640500,94.77
2014-06-03,95.49,96.50,95.11,96.23,1218100,96.23
2014-06-02,95.00,95.89,93.79,95.53,2089400,95.53
2014-05-30,95.30,96.20,94.63,94.78,7530200,94.78
2014-05-29,94.71,95.79,94.47,95.75,1296200,95.75
2014-05-28,95.93,96.53,94.45,94.53,1365800,94.53
2014-05-27,96.05,96.26,95.42,95.91,1553000,95.91
2014-05-23,95.07,96.00,94.93,95.57,1316800,95.57
2014-05-22,93.08,95.90,93.08,95.11,2018200,95.11
2014-05-21,92.43,93.60,92.39,93.57,1643500,93.57
2014-05-20,93.38,93.63,92.21,92.66,1922300,92.66
2014-05-19,93.00,94.00,92.88,93.50,2346800,93.50
2014-05-16,92.40,93.46,92.16,93.28,2341100,93.28
2014-05-15,92.43,92.85,91.58,92.59,2157000,92.59
2014-05-14,92.59,93.85,92.16,92.78,1343000,92.78
2014-05-13,91.99,93.29,91.84,93.01,1265800,93.01
2014-05-12,90.28,91.94,89.88,91.82,947000,91.82
2014-05-09,89.74,90.04,88.39,89.50,1704300,89.50
2014-05-08,91.19,91.89,89.25,89.89,2017900,89.89
2014-05-07,91.91,92.04,90.36,91.56,2657300,91.56
2014-05-06,92.76,93.26,91.78,91.78,1317600,91.78
2014-05-05,91.09,93.59,90.63,93.49,1657500,93.49
2014-05-02,93.52,93.52,91.34,91.51,1939100,91.51
2014-05-01,92.03,94.89,91.92,93.30,1969200,93.30
2014-04-30,91.34,92.32,90.55,91.91,4422100,91.91
2014-04-29,90.79,90.79,88.75,89.73,1704700,89.73
2014-04-28,90.66,91.14,88.18,89.50,2219800,89.50
2014-04-25,91.16,91.47,89.67,89.84,2900100,89.84
2014-04-24,91.91,92.19,90.21,91.45,1096000,91.45
2014-04-23,92.02,92.39,91.23,91.65,1402500,91.65
2014-04-22,91.63,94.07,91.52,92.13,4478300,92.13
2014-04-21,89.67,91.64,89.58,91.28,2291200,91.28
2014-04-17,89.83,90.74,89.00,89.58,1095900,89.58
2014-04-16,89.30,90.50,88.72,90.29,2268200,90.29
2014-04-15,87.37,88.54,85.85,88.34,2390900,88.34
2014-04-14,87.43,88.11,85.41,86.86,1636000,86.86
2014-04-11,86.55,88.57,85.91,86.76,2735600,86.76
2014-04-10,90.81,90.86,86.94,87.39,3566600,87.39
2014-04-09,88.45,91.03,88.30,90.97,3938700,90.97
2014-04-08,88.49,88.49,85.30,87.22,7016900,87.22
2014-04-07,90.39,91.50,87.73,88.57,3265500,88.57
2014-04-04,92.97,93.88,90.24,90.56,2288900,90.56
2014-04-03,93.26,93.43,91.86,92.65,1791800,92.65
2014-04-02,93.41,94.19,92.75,93.18,2419300,93.18
2014-04-01,92.52,94.76,92.32,93.31,3569100,93.31
2014-03-31,91.72,92.75,91.16,92.27,2991500,92.27
2014-03-28,91.44,93.06,90.92,91.54,1379200,91.54
2014-03-27,91.33,92.21,89.83,91.20,3228000,91.20
2014-03-26,92.69,93.67,91.29,91.30,1636000,91.30
2014-03-25,92.86,94.65,92.15,92.45,2808600,92.45
2014-03-24,93.06,93.85,91.13,92.50,4130200,92.50
2014-03-21,95.98,96.00,91.00,91.00,6151100,91.00
2014-03-20,96.05,96.77,95.20,95.69,1743200,95.69
2014-03-19,96.75,97.44,95.38,96.00,1442500,96.00
2014-03-18,95.34,97.63,95.23,96.66,2617700,96.66
2014-03-17,95.71,96.85,94.94,95.25,2200800,95.25
2014-03-14,94.05,95.93,93.57,95.51,2012700,95.51
2014-03-13,94.83,96.13,93.95,94.19,1691900,94.19
2014-03-12,93.65,95.00,92.97,94.58,1694800,94.58
2014-03-11,93.25,95.37,92.70,93.84,3207400,93.84
2014-03-10,94.62,94.68,92.51,93.12,3915400,93.12
2014-03-07,95.58,95.90,92.48,94.68,7663700,94.68
2014-03-06,98.75,99.00,95.17,95.18,5794700,95.18
2014-03-05,99.29,99.72,98.55,98.73,1661900,98.73
2014-03-04,97.85,99.83,97.62,99.36,3767200,99.36
2014-03-03,95.38,97.06,95.09,96.76,5421800,96.76
2014-02-28,99.89,99.92,97.15,97.57,3792100,97.57
2014-02-27,99.89,100.45,99.25,99.56,3601900,99.56
2014-02-26,99.50,100.88,99.09,99.72,4241000,99.72
2014-02-25,98.42,99.67,98.13,99.55,3487300,99.55
2014-02-24,96.26,98.54,96.19,98.25,3792900,98.25
2014-02-21,96.43,96.96,95.19,96.88,5103300,96.88
2014-02-20,93.85,97.97,93.50,97.30,6583100,97.30
2014-02-19,91.65,94.68,91.35,93.98,13932500,93.98
2014-02-18,92.80,93.50,90.21,91.04,36928000,91.04
2014-02-14,70.21,71.40,70.00,71.39,2674400,71.39
2014-02-13,69.22,70.62,69.15,70.34,3274100,70.34
2014-02-12,69.61,69.84,69.22,69.43,1730500,69.43
2014-02-11,69.00,69.86,68.54,69.50,1889500,69.50
2014-02-10,68.52,69.20,67.97,69.14,1996500,69.14
2014-02-07,66.28,69.00,66.25,68.89,2541500,68.89
2014-02-06,66.79,67.11,65.94,66.25,1529800,66.25
2014-02-05,65.79,67.39,64.94,66.78,2621900,66.78
2014-02-04,65.27,66.46,65.27,66.16,2024600,66.16
2014-02-03,66.30,66.81,64.33,64.44,3207400,64.44
2014-01-31,65.60,66.47,65.50,66.30,2671200,66.30
2014-01-30,65.54,66.34,65.44,66.30,1848600,66.30
2014-01-29,64.91,66.34,64.54,64.82,1983000,64.82
2014-01-28,65.41,66.36,64.98,66.10,1809200,66.10
2014-01-27,65.43,65.61,64.03,65.14,2450100,65.14
2014-01-24,67.16,67.23,64.91,64.95,2732300,64.95
2014-01-23,66.84,67.52,66.54,67.49,2097800,67.49
2014-01-22,68.38,68.64,66.35,67.02,3119600,67.02
2014-01-21,72.03,72.40,67.26,68.00,4901100,68.00
2014-01-17,70.58,70.86,68.39,68.74,3934800,68.74
2014-01-16,68.88,69.15,68.13,68.28,1517600,68.28
2014-01-15,69.77,69.90,69.02,69.10,1744700,69.10
2014-01-14,68.78,70.07,68.37,69.97,3478100,69.97
2014-01-13,68.53,69.75,67.62,67.73,2282600,67.73
2014-01-10,69.20,69.68,68.73,69.00,1794700,69.00
2014-01-09,69.08,70.14,68.62,69.17,3666900,69.17
2014-01-08,68.83,69.45,66.02,69.30,11884000,69.30
2014-01-07,58.57,58.96,58.38,58.76,2713000,58.76
2014-01-06,59.76,60.20,58.40,58.47,2124100,58.47
2014-01-03,59.73,59.99,59.12,59.62,1075400,59.62
2014-01-02,60.00,60.14,59.37,59.63,1141200,59.63
